method,seed,shd,shd_cpdag,f1,bic_per_row,test_loglik,test_neg_js,seconds
ges,3,2,1,0.7999999999999999,-2.297250593084701,-2.2329514337012433,-0.0011840367844575513,2.376268499996513
rlbayes,3,9,8,0.4444444444444445,-2.3037107462200903,-2.2351377932192564,-0.001240634262780011,0.6064021000056528
qlearn,3,14,16,0.2105263157894737,-2.33647579715342,-2.259849103029094,-0.001494023498905581,81.71176979999291
true,4,0,0,1.0,-2.260083960523322,-2.234095649275195,-0.00045829906840822,5.00003807246685e-07
hc,4,10,10,0.11111111111111112,-2.262988613014589,-2.2383281044204804,-0.0009180950571600074,0.019079099991358817
tabu,4,6,6,0.47058823529411764,-2.261705727671583,-2.238682385611636,-0.0007185702321536916,0.021758400020189583
ges,4,2,0,0.75,-2.260083960523322,-2.2342044502021765,-0.0005614339081543892,2.5513703000033274
rlbayes,4,4,2,0.625,-2.26044964822388,-2.2433628782678805,-0.000616576675700058,0.9270692999707535
qlearn,4,8,8,0.47058823529411764,-2.286570372196488,-2.26056346457504,-0.0010221553076733064,85.07067770004505
true,5,0,0,1.0,-2.2705022285920236,-2.250862770889303,-0.00043248231476741145,4.00003045797348e-07
hc,5,5,4,0.47058823529411764,-2.271731593950554,-2.25055617174242,-0.0006043949257025688,0.014991400006692857
tabu,5,1,0,0.875,-2.2705022285920236,-2.2508811267413473,-0.0004585571179998747,0.016555000038351864
ges,5,2,0,0.75,-2.2705022285920236,-2.2509021009937684,-0.0004985182972618049,2.4141595999826677
rlbayes,5,6,4,0.47058823529411764,-2.273477690816498,-2.25142538257467,-0.00047409086942661115,0.8310659999842755
qlearn,5,5,7,0.5882352941176471,-2.2992219652470123,-2.280585184663474,-0.0005765376809003174,86.53682320000371
true,6,0,0,1.0,-2.2555860261884892,-2.3243097448789887,-0.0004309015200929502,7.00005330145359e-07
hc,6,6,5,0.5,-2.258133950286725,-2.330560918188101,-0.0005535383049801894,0.013791200006380677
tabu,6,6,5,0.5,-2.258133950286725,-2.330560918188101,-0.0005535383049801894,0.008250700018834323
ges,6,2,1,0.7999999999999999,-2.2549292085808466,-2.3298661067563344,-0.0003580966175366464,2.105457200028468
rlbayes,6,2,1,0.7999999999999999,-2.254929208580846,-2.3298593719348544,-0.0005869335767187432,0.987996399984695
