method,seed,shd,shd_cpdag,f1,bic_per_row,test_loglik,test_neg_js,seconds,steps,gen_evals,unseen
dqn_mlp_best,0,2,1,0.7999999999999999,-2.275012930059757,-2.2938292490116425,-0.0009808332015709032,370.1064869000111,99827,0,
dqn_mlp_greedy,0,11,11,0.22222222222222224,-2.3086184132570815,-2.3137013444046723,-0.0016046562516425142,370.1064869000111,99827,0,0
dqn_mlp_best,1,1,1,0.9333333333333333,-2.2580342941909537,-2.167857071880687,-0.0011847177390862241,367.051230400044,99636,0,
dqn_mlp_greedy,1,8,9,0.35294117647058826,-2.2682149945919523,-2.168353319830167,-0.0008958158551488939,367.051230400044,99636,0,0
dqn_mlp_best,2,2,1,0.7999999999999999,-2.225259186676372,-2.2575307604243484,-0.0008253497202678835,366.0213503999985,99788,0,
dqn_mlp_greedy,2,7,7,0.4444444444444445,-2.2318328885589724,-2.258638850599712,-0.0007843717135012605,366.0213503999985,99788,0,0
dqn_mlp_best,3,2,1,0.7999999999999999,-2.297250593084701,-2.2328392598606444,-0.0009026584614543697,364.49161870003445,99454,0,
dqn_mlp_greedy,3,12,12,0.22222222222222224,-2.327467880612755,-2.273346860788769,-0.002144190456355329,364.49161870003445,99454,0,0
dqn_mlp_best,4,1,0,0.875,-2.260083960523322,-2.2341910087678007,-0.0005667355687774063,404.74184510001214,99825,0,
dqn_mlp_greedy,4,8,11,0.4444444444444445,-2.2692175835439734,-2.2381023053288054,-0.0004496261651463203,404.74184510001214,99825,0,0
dqn_mlp_best,5,2,0,0.75,-2.2705022285920236,-2.2509021009937684,-0.0004985182972618049,403.39557019999484,99920,0,
dqn_mlp_greedy,5,5,5,0.7058823529411765,-2.27485888819718,-2.2587052985383593,-0.0004451818733001503,403.39557019999484,99920,0,0
dqn_mlp_best,6,1,1,0.9333333333333333,-2.254929208580846,-2.3298601382076387,-0.00044437410547033617,407.20476880000206,99616,0,
dqn_mlp_greedy,6,10,10,0.23529411764705882,-2.2907466913048133,-2.367324659468206,-0.0010227286253912584,407.20476880000206,99616,0,0
dqn_mlp_best,7,1,1,0.9333333333333333,-2.2258656763486377,-2.3092319736292968,-0.0009199672728496234,407.5051351999864,99774,0,
dqn_mlp_greedy,7,7,8,0.47058823529411764,-2.2331393852658046,-2.3152489552689275,-0.001922429185997261,407.5051351999864,99774,0,0
dqn_mlp_best,8,2,1,0.7999999999999999,-2.2487484402897153,-2.178672809611367,-0.0005587140186836203,333.4462290999945,99813,0,
dqn_mlp_greedy,8,7,8,0.631578947368421,-2.26397838797848,-2.1818263822750756,-0.0005797092877570455,333.4462290999945,99813,0,0
dqn_mlp_best,9,1,0,0.875,-2.2844430657614683,-2.239269242906742,-0.0006398877782180588,335.11592969996855,99726,0,
dqn_mlp_greedy,9,7,6,0.5555555555555556,-2.291807677461925,-2.2440042211869087,-0.0008339669842484918,335.11592969996855,99726,0,0
