method,seed,shd,shd_cpdag,f1,bic_per_row,test_loglik,test_neg_js,seconds,steps,gen_evals,unseen
dqn_mlp_best,0,2,1,0.7999999999999999,-2.275012930059757,-2.2938981231485283,-0.0010717550831649577,706.6586724999943,99919,18306,
dqn_mlp_greedy,0,11,12,0.3157894736842105,-2.30473755039418,-2.3140560774908474,-0.0014523841434307383,706.6586724999943,99919,18306,0
dqn_mlp_best,1,3,2,0.75,-2.2592695533949008,-2.167290292866,-0.001051749591324866,682.4688542000367,99745,17868,
dqn_mlp_greedy,1,10,13,0.3,-2.2792786110501018,-2.1857247285559684,-0.0010339938415531505,682.4688542000367,99745,17868,0
dqn_mlp_best,2,2,1,0.7999999999999999,-2.225259186676372,-2.2574986711941083,-0.0007005307651034151,705.9120253000292,99774,18482,
dqn_mlp_greedy,2,8,12,0.5555555555555556,-2.244364256149959,-2.275766882965202,-0.0009001439559144339,705.9120253000292,99774,18482,0
dqn_mlp_best,3,1,1,0.9333333333333333,-2.297250593084701,-2.232838656564124,-0.001122944554535125,690.9317095999722,99620,18310,
dqn_mlp_greedy,3,9,10,0.33333333333333326,-2.3050741529082948,-2.237321061715314,-0.0013970737319679496,690.9317095999722,99620,18310,0
dqn_mlp_best,4,2,0,0.75,-2.260083960523322,-2.234196545856745,-0.00048640725722963116,730.5198238999583,99954,17231,
dqn_mlp_greedy,4,4,5,0.7058823529411765,-2.289677115945354,-2.257334206527561,-0.0006159759373168717,730.5198238999583,99954,17231,0
dqn_mlp_best,5,1,0,0.875,-2.2705022285920236,-2.2508811267413473,-0.0004585571179998747,724.7461498000193,99721,17566,
dqn_mlp_greedy,5,6,8,0.5555555555555556,-2.275637335738311,-2.254392659143308,-0.0006077684183377906,724.7461498000193,99721,17566,0
dqn_mlp_best,6,5,5,0.5,-2.2562097649249315,-2.330529361297959,-0.0005682804011653412,745.1682958000456,99875,18462,
dqn_mlp_greedy,6,8,6,0.23529411764705882,-2.258461167306441,-2.3310655201673396,-0.0005800333763236465,745.1682958000456,99875,18462,0
dqn_mlp_best,7,3,5,0.75,-2.227166810762069,-2.309349075462637,-0.0010269466970208741,751.9938229999971,99780,18459,
dqn_mlp_greedy,7,11,12,0.22222222222222224,-2.2656990611993586,-2.3442986739885314,-0.0012559257676916643,751.9938229999971,99780,18459,0
dqn_mlp_best,8,2,1,0.7999999999999999,-2.2487484402897153,-2.1786784170675886,-0.000479173069608452,562.9543982999749,99853,18301,
dqn_mlp_greedy,8,7,8,0.35294117647058826,-2.2917017279201035,-2.2102288105671652,-0.0004955238648730313,562.9543982999749,99853,18301,0
dqn_mlp_best,9,1,1,0.9333333333333333,-2.284564613800765,-2.2406142323387566,-0.0006099729623576111,562.4633863000199,99779,18029,
dqn_mlp_greedy,9,9,9,0.3157894736842105,-2.305726720995099,-2.2550805869339605,-0.0007693379693234549,562.4633863000199,99779,18029,0
