method,seed,shd,shd_cpdag,f1,bic_per_row,test_loglik,test_neg_js,seconds,steps,gen_evals,unseen
dqn_mlp_best,0,2,1,0.7999999999999999,-2.275012930059757,-2.2938981231485283,-0.0010717550831649577,568.7565555999754,99806,17899,
dqn_mlp_greedy,0,9,8,0.14285714285714288,-2.368665556053019,-2.373485864548818,-0.001975731726265587,568.7565555999754,99806,17899,0
dqn_mlp_best,1,1,1,0.9333333333333333,-2.2580342941909537,-2.167857071880687,-0.0011847177390862241,549.3284775000066,99483,16883,
dqn_mlp_greedy,1,8,9,0.33333333333333326,-2.2861658754613527,-2.1906858084742042,-0.0015579211018203144,549.3284775000066,99483,16883,0
dqn_mlp_best,2,2,1,0.7999999999999999,-2.225259186676372,-2.2574986711941083,-0.0007005307651034151,576.439193499973,99778,17992,
dqn_mlp_greedy,2,8,8,0.35294117647058826,-2.2323814142240903,-2.263319516089908,-0.00105394160655656,576.439193499973,99778,17992,0
dqn_mlp_best,3,1,1,0.9333333333333333,-2.297250593084701,-2.232838656564124,-0.001122944554535125,562.2454206999973,99675,17381,
dqn_mlp_greedy,3,7,7,0.33333333333333326,-2.32666628814768,-2.254037236163609,-0.0015949794412771182,562.2454206999973,99675,17381,0
dqn_mlp_best,4,1,0,0.875,-2.260083960523322,-2.234101186364139,-0.00037823688053807974,563.602257999999,99929,17948,
dqn_mlp_greedy,4,10,9,0.2105263157894737,-2.266155175327671,-2.2435823317622154,-0.0005336853537412696,563.602257999999,99929,17948,0
dqn_mlp_best,5,1,0,0.875,-2.2705022285920236,-2.250863900858037,-0.0004277653040331098,555.8176356999902,99909,17928,
dqn_mlp_greedy,5,9,11,0.23529411764705882,-2.3043891096721825,-2.295799537157131,-0.0011316607408993979,555.8176356999902,99909,17928,0
dqn_mlp_best,6,1,1,0.9333333333333333,-2.254929208580846,-2.3298601382076387,-0.00044437410547033617,551.4977849000134,99593,17906,
dqn_mlp_greedy,6,7,7,0.47058823529411764,-2.28549590566256,-2.3790880069677285,-0.0007047391991119823,551.4977849000134,99593,17906,0
dqn_mlp_best,7,1,1,0.9333333333333333,-2.2258656763486377,-2.3092319736292968,-0.0009199672728496234,546.1463244000333,99618,17992,
dqn_mlp_greedy,7,11,13,0.23529411764705882,-2.3222032398953187,-2.423740588982692,-0.002262346683414449,546.1463244000333,99618,17992,0
dqn_mlp_best,8,2,1,0.7999999999999999,-2.2487484402897153,-2.1786784170675886,-0.000479173069608452,373.1544267999707,99867,18113,
dqn_mlp_greedy,8,9,10,0.33333333333333326,-2.2550032723768325,-2.1786062806155377,-0.0005676788264069198,373.1544267999707,99867,18113,0
dqn_mlp_best,9,1,1,0.9333333333333333,-2.284564613800765,-2.2406142323387566,-0.0006099729623576111,371.5518058000016,99825,17727,
dqn_mlp_greedy,9,8,8,0.0,-3.0048961509904664,-3.0470219549674313,-0.01141801673991211,371.5518058000016,99825,17727,0
